id;gender;age;member1lastname;member1firstname;member1country;member2lastname;member2firstname;member2country;member3lastname;member3firstname;member3country;member4lastname;member4firstname;member4country;member5lastname;member5firstname;member5country;time;original_score;penalty;score;status
201;men;youth;TAPLIN;Hugh;AUS;PERKINS;Jaiden;AUS;;;;;;;;;;5:27:27;230;0;230;
50;mixed;open;CLIFTON;Jane;AUS;CLIFTON;Leigh;AUS;KAENE;Kevin;AUS;;;;;;;6:11:55;230;0;230;
203;women;youth;JOHNSON;Kate;AUS;BOOTHEY;Madison;AUS;;;;;;;;;;6:24:21;230;0;230;
15;women;veteran;WILSON;Selina;AUS;ABSON;Virginia;AUS;;;;;;;;;;4:00:15;200;0;200;
103;mixed;superveteran;CHURCHILL;Susan;AUS;GUTTREY;Owen;AUS;;;;;;;;;;3:39:55;180;0;180;
131;men;open;SMITH;Trent;AUS;SMITH;Sylas;AUS;;;;;;;;;;22:19:08;170;0;170;
127;mixed;open;SMITHSON;Ann;AUS;BEYER;Peter;AUS;BEYER;Max;AUS;;;;;;;23:12:15;150;0;150;
110;mixed;open;SPOONHEIM;Alanda;AUS;SERMON;Tyler;AUS;;;;;;;;;;3:47:23;140;0;140;
111;men;open;SERMON;Shane;AUS;SERMON;Kai;AUS;;;;;;;;;;3:47:37;140;0;140;
94;mixed;veteran;ANDREW;Steve;AUS;ANDREW;Lesley;AUS;;;;;;;;;;5:57:45;130;0;130;
121;mixed;open;TAYLOR;Issac;AUS;TAYLOR;Samuel;AUS;TAYLOR;Jenaveve;AUS;TAYOR;Lillian;AUS;;;;23:22:11;120;0;120;
83;mixed;open;HORTON;Ashley;AUS;HORTON;Alexia;AUS;HORTON;Kevin;AUS;HORTON;Nadia;AUS;;;;2:19:42;70;0;70;
128;men;open;SMITH;Trent;AUS;SMITH;Sylas;AUS;SMITH;Harrison;AUS;;;;;;;2:54:40;40;0;40;
63;women;veteran;HARWOOD;Fran;AUS;JOYCE;Hilary;AUS;;;;;;;;;;0:00:00;0;0;0;withdrawn
86;men;open;CHAMBON;Geoffrey;AUS;TAY;Benjamin;AUS;;;;;;;;;;0:00:00;0;0;0;withdrawn
107;mixed;open;BYRNE;Barry;AUS;CHRISTIAN;Karn;AUS;MORRICE;Emma;AUS;CATER;Cindee;AUS;;;;0:00:00;0;0;0;disqualified
120;mixed;open;LOCKLEY;Bev;AUS;FIRTH;Jessica;AUS;FIRTH;Maya;AUS;FIRTH;Lance;AUS;;;;0:00:00;0;0;0;disqualified
