id,gender,age,time,score,penalty,status,member1country,member1firstname,member1lastname,member2country,member2firstname,member2lastname,member3country,member3firstname,member3lastname,member4country,member4firstname,member4lastname
378,mixed,ultraveteran,23:48:25,254,0,finished,LAT,Juris,Šinke,LAT,Arija,Šinke,,,,,,
364,mixed,superveteran,23:32:02,253,0,finished,EST,Mati,Preitof,EST,Tiina,Talisoo,,,,,,
129,men,veteran,23:42:12,253,0,finished,LAT,Arvids,Ozolins,LAT,Edgars,Peics,,,,,,
141,men,open,23:53:11,253,0,finished,FIN,Olli,Aaltio,ESP,Juan,Manuel Ruiz,,,,,,
170,men,veteran,22:05:13,251,0,finished,FIN,Timo,Pohjakallio,FIN,Jussi,Vanhanen,,,,,,
247,women,superveteran,23:29:31,251,0,finished,LAT,Dace,Ikšele,LAT,Liga,Abelniece,,,,,,
304,mixed,open,23:37:32,251,0,finished,EST,Heiki,Pajuste,EST,Helis,Pajuste,EST,Heleri,Pajuste,,,
330,mixed,junior,23:59:33,250,0,finished,UKR,Zhelizniak,Oleksandr,UKR,Zhynkevych,Oleksandra,,,,,,
370,mixed,superveteran,23:46:18,245,0,finished,LAT,Janis,Nagelis,LAT,Baiba,Ozola,,,,,,
309,mixed,open,23:27:26,243,0,finished,EST,Janek,Kähr,EST,Maigi,Kähr,,,,,,
323,mixed,open,23:56:28,242,0,finished,LAT,Martins,Sudars,LAT,Inga,Sudare-Spune,,,,,,
336,mixed,veteran,19:45:18,240,0,finished,EST,Andreas,Kraas,EST,Kadri,Limberg,,,,,,
349,mixed,veteran,22:55:26,239,0,finished,FIN,Heidi,Komu,FIN,Janne,Kotaniemi,,,,,,
186,men,ultraveteran,23:28:38,239,0,finished,EST,Sulev,Kuiv,EST,Johannes,Tasa,,,,,,
148,men,veteran,18:40:10,238,0,finished,FIN,Tuomas,Nieminen,FIN,Antti,Rantanen,,,,,,
245,women,superveteran,23:44:44,238,0,finished,EST,Marje,Viirmann,EST,Saima,Värton,,,,,,
351,mixed,veteran,23:22:41,236,0,finished,FIN,Esa,Jokioinen,FIN,Emmi,Jokioinen,,,,,,
176,men,superveteran,23:47:34,236,0,finished,EST,Antti,Roose,EST,Tõnu,Ilves,,,,,,
331,mixed,junior,23:53:42,236,0,finished,UKR,Denys,Musiienko,UKR,Tetiana,Zamakhina,UKR,Vladyslav,Hasanov,,,
173,men,veteran,22:48:10,235,0,finished,FIN,Petteri,Nikki,FIN,Pasi,Pekkala,,,,,,
249,women,superveteran,23:32:58,235,0,finished,LAT,Silvija,Penkule,LAT,Skaidrite,Otanke,,,,,,
360,mixed,superveteran,24:00:07,235,-1,finished,UKR,Valentyna,Bevzo,UKR,Volodymyr,Lipka,,,,,,
242,women,veteran,19:52:38,233,0,finished,LAT,Zane,Dzirkale,LAT,Liga,Berke,,,,,,
158,men,veteran,23:43:05,233,0,finished,LAT,Leons,Mednis,LAT,Raimonds,Bricis,,,,,,
327,mixed,junior,23:48:18,233,0,finished,UKR,Ivan,Romanenko,UKR,Yelyzaveta,Zaitseva,,,,,,
326,mixed,junior,23:50:44,233,0,finished,UKR,Danylo,Pohrebets,UKR,Alina,Myronyk,,,,,,
255,women,ultraveteran,23:23:05,231,0,finished,LAT,Ligita,Grunde,LAT,Alida,Abola,,,,,,
174,men,veteran,22:33:03,228,0,finished,FIN,Jari,Heikkinen,FIN,Tommi,Rättö,,,,,,
373,mixed,superveteran,22:47:55,227,0,finished,FIN,Helena,Haapomaa,FIN,Eki,Haapomaa,,,,,,
333,mixed,veteran,23:18:19,227,0,finished,LAT,Sniedze,Brakovska,LAT,Eduards,Pakis,,,,,,
171,men,veteran,23:38:49,227,0,finished,LAT,Martins,Zarins,LAT,Eriks,Sinicins,,,,,,
105,men,open,23:55:37,227,0,finished,EST,Oleg,Koshik,EST,Hendrik,Vija,EST,Andres,Aleksander Tammer,,,
177,men,superveteran,23:40:43,220,0,finished,LAT,Evalds,Žogla,LAT,Edgars,Klavinš,,,,,,
134,men,veteran,23:47:54,220,0,finished,EST,Juhan,Aasaru,EST,Alar,Virumäe,,,,,,
213,women,open,22:45:30,219,0,finished,EST,Jaana,Olvet,EST,Liis,Uusküla,,,,,,
343,mixed,veteran,24:28:36,246,-29,finished,EST,Imbi,Soome,EST,Gert,Saamann,,,,,,
316,mixed,open,22:38:18,209,0,finished,EST,Kertu,Savitsch,EST,Mihkel,Johannes Kütt,,,,,,
181,men,superveteran,22:46:36,209,0,finished,FIN,Hannu,Lempinen,FIN,Edvin,Hepokangas,,,,,,
118,men,open,23:41:43,206,0,finished,LAT,Janis,Stašans,LAT,Ilmars,Gaidelis,,,,,,
313,mixed,open,23:18:42,204,0,finished,UKR,Dmytro,Sandul,UKR,Svitlana,Kosovan,UKR,Ruslan,Shchur,,,
217,women,junior,23:33:18,204,0,finished,UKR,Valentyna,Dushchak,UKR,Kateryna,Rak,,,,,,
369,mixed,superveteran,23:38:32,204,0,finished,LAT,Liga,Zarina,LAT,Juris,Zarinš,,,,,,
