id,status,age,gender,member1country,member1firstname,member1lastname,member2country,member2firstname,member2lastname,member3country,member3firstname,member3lastname,score,time,penalty
329,,open,women,LAT,EVIJA,GRINMANE,LAT,GUNITA,DRAVNIECE,,,,122,23:31:47,0
330,,youth,mixed,UKR,ANDRII,RIABOV,UKR,NADIIA,KERBUNOVA,,,,121,19:05:33,0
331,,veteran,mixed,ARG,PAULA,FRITZSCHE,ESP,XAVI,MIMÓ,,,,121,23:22:34,0
332,,open,men,LAT,AIVARS,ZOGLA,LAT,ARTURS,ZOGLA,,,,120,17:51:07,0
333,,veteran,women,ESP,MARIA JULIA,GUERRERO,ESP,SOLMARI BAQUERO NORIEGO,,,,,120,23:05:03,0
334,,veteran,women,ESP,CRISTINA,GELABERO PIGEM,ESP,MONICA,SAMARANCH GALLART,,,,120,23:50:59,0
335,,superveteran,women,LAT,SARMITE,VLODARE,LAT,DACE,SAULITE,,,,118,21:28:03,0
336,,veteran,mixed,LAT,JURIS,PAIDERS,LAT,ANITA,PAIDERE,,,,117,23:27:02,0
337,,veteran,women,AUS,KAREN,WISHART,AUS,JO,POWELL,,,,115,22:53:03,0
338,,open,women,LAT,EVIJA,BIRZNIECE,LAT,GUNTA,BLUZMA,,,,113,22:49:11,0
339,,superveteran,mixed,AUS,HEATHER,LESLIE,AUS,JOHN,GAVENS,,,,113,23:11:59,0
340,,veteran,men,NED,SERGEJ,LATYSOV,NED,OLEG,AKNAEV,,,,112,23:25:17,0
341,,veteran,mixed,JPN,MASAMI,ITO,JPN,AKIKO,TAMURA,,,,111,22:37:35,0
342,,veteran,women,RUS,IULIIA,ZAVIALOVA,RUS,MARIA,YASHCHENKO,,,,111,23:37:44,0
343,,open,women,ESP,INGE CATHARINA CORNELIA,NIESSEN,ESP,LIDIA,JUAN SUAREZ,,,,110,00:00:00,48
344,,veteran,mixed,RUS,SVETLANA,GLADKOVA,RUS,GENNADI,SELUMINOV,,,,109,23:21:38,0
345,,open,mixed,ESP,JOSE,PÉREZ,ESP,CORAL,GALLARDO MASA,,,,109,23:39:34,0
346,,open,men,BLR,YAUHENI,VASILCHANKA,BLR,ANTON,NARUTA,,,,106,23:16:31,0
347,,youth,mixed,BLR,EDVIN,BEDARAU,BLR,TATSIANA,YAFREMAVA,,,,106,23:24:55,0
348,,open,mixed,RUS,ANASTASIIA,ZHELEZNOVA,RUS,DMITRII,PANFILOV,,,,106,23:42:46,0
349,,veteran,men,POR,LUÍS,QUINTA-NOVA,POR,ANTÓNIO,BAPTISTA,,,,105,23:25:43,0
350,,veteran,men,ESP,SERGI,FERNÀNDEZ BALDELLOU,ESP,DAVID,HERNANDEZ FLORES,,,,104,18:41:52,0
351,,veteran,men,FIN,PASI,PEKKALA,FIN,PETTERI,NIKKI,,,,104,20:38:16,0
352,,veteran,mixed,RUS,YULIA,VEKSLER,RUS,VLADIMIR,VORONCHIKHIN,,,,104,23:46:33,0
353,,veteran,mixed,FIN,ASMO,VUORENPÄÄ,FIN,VIRVA,VUORENPÄÄ,,,,103,13:40:28,0
354,,veteran,men,ESP,JULIÁN,PÉREZ GARCÍA,ESP,JAVIER,GONZALVEZ PIÑERA,,,,103,23:17:19,0
355,,ultraveteran,mixed,RUS,ALINA,KAZANTSEVA,RUS,IVAN,KAZANTSEV,,,,102,22:35:24,0
356,,ultraveteran,women,RUS,LYUDMILA,GORSHKOVA,RUS,OLGA,LAVRINOVICH,USA,NADEZHDA,POPOVA,101,23:04:26,0
357,,ultraveteran,mixed,USA,KEN,LOTZE,USA,CAROL,JOHNSON,,,,100,23:24:11,0
358,,veteran,mixed,NZL,ANNA,SQUIRES,NZL,PETE,SQUIRES,,,,98,23:45:06,0
359,,veteran,women,LAT,VIZBULĪTE,CELMIŅA,LAT,SINTIJA,ALAINE,,,,96,22:53:04,0
360,,open,mixed,EST,HEIKI,PAJUSTE,EST,HELERI,PAJUSTE,,,,95,23:18:31,0
361,,open,mixed,ESP,CARLOS,NUIN GURBINDO,SVK,MARTINA,KLUCAROVSKA,ESP,OSCAR,LANDARROITAJAUREGI,90,22:39:35,0
362,,ultraveteran,mixed,UKR,VOLODYMYR,HREHUL,UKR,TETIANA,KLEPIKOVA,,,,89,23:53:16,0
363,,ultraveteran,mixed,UKR,HALYNA,KHORUZHENKO,UKR,LEONID,KHORUZHENKO,,,,88,23:58:42,0
364,,ultraveteran,women,EST,EHA,ARB,EST,VIRVE,ORAV,,,,86,23:07:20,0
365,,open,women,UKR,NADIIA,SVEREDIUK,UKR,KSENIIA,VARAVINA,,,,85,23:11:00,0
366,,open,mixed,USA,DAVID,BRYANT,USA,BARBARA,BRYANT,,,,81,14:21:11,0
367,,open,women,ESP,EVA,TRAGUANY ROVIRA,ESP,ESTER,BARTRA URPI,,,,79,22:42:43,0
368,,ultraveteran,mixed,UKR,VALENTYNA,KORIAKOVA–SAVOISKA,UKR,VOLODYMYR,MUSATOV,,,,76,18:39:10,0
369,,open,women,RSA,ANGELA,GRIESEL,RSA,STEPHANIE,MULDER,,,,75,19:59:08,0
370,,ultraveteran,mixed,RUS,ALEXANDER,ORLOV,RUS,IURII,VEKSHIN,RUS,TATIANA,RODINA,70,20:23:16,0
371,,superveteran,women,UKR,OLHA,SHRAM,UKR,NATALIA,KOZACHENKO,,,,68,22:38:28,0
372,,youth,women,CZE,KRISTYNA,OTCOVSKA,CZE,VERONIKA,TOJNAROVA,,,,68,23:38:30,0
373,,superveteran,mixed,ESP,JORDI,DEU VEIGA,ESP,BEGOÑA,ALMOR ARIAS,,,,60,23:28:03,0
374,,youth,men,UKR,MYKOLA,DEMCHENKO,UKR,OLEKSII,MYKHAILETS,,,,56,21:33:54,0
375,,veteran,mixed,EST,GUIDO,TREES,EST,KRISTA,RAID,,,,50,20:25:43,0
376,,superveteran,men,POL,GABRIEL,BUJAKIEWICZ,USA,JAY,HANN,,,,49,11:05:07,0
377,,open,women,LAT,MARITA,SALTA,LAT,AIJA,ORNINA,,,,30,22:23:05,0
378,,open,mixed,JPN,SHUHEI,AKAMINE,JPN,MIYUKI,AKAMINE,,,,30,23:29:45,0
379,,veteran,mixed,USA,BILL,CUSWORTH,USA,HEIDI,CUSWORTH,,,,2,23:15:40,0
380,disqualified,veteran,men,ESP,ANDREU,CALVÓ BOATELLA,ESP,ALBERT,VIÑALS BAULENAS,,,,178,23:28:06,0
381,disqualified,open,women,ESP,INGE CATHARINA CORNELIA,NIESSEN,ESP,LIDIA JUAN,SUAREZ,,,,0,12,0
382,disqualified,open,men,ESP,AURELIO ANTONIO,OLIVAR ROLDÁN,ESP,ALBERT,HERRERO CASAS,,,,0,12,0
383,disqualified,open,men,AUS,JAMES,HILL,AUS,GREGORY,HOSKING,,,,0,12,0
384,disqualified,veteran,men,SWE,THOBIAS,WIDELUND,SWE,ANDERS,ERLANDSSON,,,,0,11:05:07,0
385,disqualified,open,women,EST,LIIS,UUSKÜLA,EST,JAANA,OLVET,,,,0,12,0
386,overtime,superveteran,men,EST,MATI,PREITOF,EST,MAIDO,KALJUR,,,,0,01:28:14,191
