age,gender,time,penalty,score,status,id,member1country,member1lastname,member1firstname,member2country,member2lastname,member2firstname,member3country,member3lastname,member3firstname,member4country,member4lastname,member4firstname
superveteran,men,23:34:48,0,196,,49,RUS,Бакшеев,Александр,RUS,Демидов,Александр,,,,,,
open,men,23:53:23,0,194,,50,RUS,Битков,Дмитрий,RUS,Калашников,Андрей,,,,,,
open,mixed,23:47:51,0,191,,51,RUS,Калашников,Артем,RUS,Ракчеева,Елена,,,,,,
veteran,men,23:54:29,0,191,,52,RUS,Кузнецов,Валерий,RUS,Шевченко,Александр,,,,,,
veteran,mixed,23:49:56,0,190,,53,RUS,Давыдова,Юлия,RUS,Романов,Игорь,RUS,Михайлова,Раиса,,,
youth,men,22:39:50,0,189,,54,RUS,Ермаков,Андрей,RUS,Тарасов,Андрей,,,,,,
ultraveteran,men,23:50:59,0,189,,55,RUS,Табаков,Михаил,RUS,Слепов,Вячеслав,,,,,,
youth,men,23:19:31,0,188,,56,RUS,Коротких,Александр,RUS,Ежиков,Николай,,,,,,
veteran,mixed,23:29:21,0,188,,57,RUS,Томаровский,Анатолий,RUS,Руденко,Елена,,,,,,
open,men,23:32:07,0,188,,58,RUS,Путилов,Алексей,RUS,Слюняев,Николай,,,,,,
ultraveteran,men,23:22:44,0,187,,59,RUS,Додонов,Евгений,RUS,Лукьянов,Александр,,,,,,
veteran,women,23:38:30,0,187,,60,RUS,Творогова,Ольга,RUS,Павлова,Татьяна,,,,,,
veteran,mixed,23:24:15,0,182,,61,RUS,Сахапова,Миляуша,RUS,Филимонов,Александр,,,,,,
veteran,men,22:48:14,0,181,,62,RUS,Борисов,Алексей,RUS,Миронов,Сергей,,,,,,
veteran,women,23:34:25,0,181,,63,RUS,Палутина,Светлана,RUS,Цветкова,Евгения,RUS,Даниличева,Елена,,,
