id,time,score,penalty,age,gender,member1country,member1firstname,member1lastname,member2country,member2firstname,member2lastname,member3country,member3firstname,member3lastname,member4country,member4firstname,member4lastname,member5country,member5firstname,member5lastname
63,20:41:00,810,0,open,mixed,AUS,Alice,Twomey,AUS,Cameron,Van-Lane,,,,,,,,,
43,22:42:00,810,0,veteran,men,AUS,Ross,Beatty,AUS,Jeff,Martin,AUS,Gary,Lilley,,,,,,
21,23:14:00,770,0,superveteran,women,AUS,Genevieve,Johnstone,AUS,Miranda,Milne,,,,,,,,,
69,22:34:00,760,0,open,women,AUS,Tamyka,Bell,AUS,Susannah,Harvey-Jamieson,,,,,,,,,
135,23:43:00,760,0,open,women,AUS,Kim,Lapere,AUS,Karmen,Condic-Jurkic,AUS,Jennifer,Gandy,,,,,,
117,9:07:00,740,0,veteran,mixed,AUS,Nicole,Sellin,AUS,Nigel,McDonald,,,,,,,,,
145,23:10:00,700,0,veteran,mixed,AUS,Greg,Terrill,AUS,Silke,Speier,,,,,,,,,
149,23:33:00,690,0,open,mixed,AUS,Liz,Drummond,AUS,Duanne,White,AUS,Felix,White,,,,,,
103,23:39:00,680,0,open,mixed,AUS,Luke,Gregory,AUS,Kate,New-Tolley,,,,,,,,,
85,16:35:00,670,0,open,men,AUS,Robert,Herkes,AUS,Murray,Pinnock,AUS,Jack,Lever,,,,,,
96,22:32:00,650,0,open,men,AUS,Taimoor,Sohail,AUS,Jonathan,Pownall,,,,,,,,,
50,23:10:00,630,0,veteran,men,AUS,Jeremy,Taylor,AUS,Shane,McLeod,AUS,Steve,Drummond,,,,,,
141,23:31:00,630,0,youth,men,AUS,Lachlan,Robinson,AUS,Kieran,Casey,,,,,,,,,
114,20:33:00,570,0,superveteran,men,AUS,Colin,Williams,AUS,William,Wekeem,,,,,,,,,
107,23:56:00,570,0,open,men,AUS,Tom,Swan,AUS,Purav,Mehta,,,,,,,,,
152,16:33:00,520,0,youth,men,AUS,Jack,Allison,AUS,Kevin,Chan,AUS,Rob,Whittaker,,,,,,
47,23:54:00,510,0,open,mixed,AUS,Sarah,Morris Adams,AUS,Jack,Adams,,,,,,,,,
131,22:26:00,480,0,ultraveteran,mixed,AUS,Robert,Montgomery,AUS,Pamela,Montgomery,,,,,,,,,
119,22:08:00,450,0,youth,women,AUS,Portia,Olsen,AUS,Zoe,Oldfield,,,,,,,,,
132,23:53:00,450,0,open,mixed,AUS,Brett,Parker,AUS,Saffron,Zomer,AUS,Lucy,Parker,AUS,Ben,Parker,AUS,Vera,Parker
139,21:57:00,410,0,open,mixed,AUS,James,Leeds,AUS,Annelien,Deceuninck,,,,,,,,,
136,4:28:00,150,0,open,mixed,AUS,Kym,O'Halloran,AUS,Lochinvar,Goodwin,,,,,,,,,
91,23:45:00,0,0,youth,men,AUS,Anthony,Ricci,AUS,Dan,Hellig-Smith,AUS,Sagar,Joshi,,,,,,
