name,age,gender,penalty,time,status,score,id,member1country,member1lastname,member1firstname,member2country,member2lastname,member2firstname,member3country,member3lastname,member3firstname,member4country,member4lastname,member4firstname,member5country,member5lastname,member5firstname
,open,women,0,23:49:37,,1160,120,AUS,Barlow,Carey,AUS,Barlow,Erica,,,,,,,,,
,open,mixed,0,23:57:26,,1160,173,AUS,Spink,Corey,AUS,Spink,Lucy,,,,,,,,,
,superveteran,mixed,0,23:28:27,,1140,1,AUS,Dabbs,Lynn,AUS,Williams,Kevin,,,,,,,,,
,open,mixed,0,23:07:14,,1080,87,AUS,Crowe,Bryony,AUS,Benn,Anthony,AUS,Cooper,Ashby,,,,,,
,ultraveteran,women,0,23:23:02,,1080,139,AUS,Miethke,Pat,AUS,Poulis,Parissa,,,,,,,,,
,veteran,men,0,22:25:01,,1030,34,AUS,Cox,Peter,AUS,O'Neill,Guy,,,,,,,,,
,open,mixed,0,21:58:57,,1000,165,AUS,Franklin,Angela,AUS,Savage,Anthony,,,,,,,,,
,veteran,mixed,0,23:27:34,,990,111,AUS,Dukino,Jacqueline,AUS,Crosato,Robert,,,,,,,,,
,veteran,men,0,20:08:20,,970,68,AUS,Clark,Warren,AUS,Orchard,Glen,,,,,,,,,
,open,mixed,0,23:47:09,,970,17,AUS,Kalmar,Adrienne,AUS,Woods,Brendan,AUS,Packer,Dave,,,,,,
,open,men,0,23:14:00,,960,144,AUS,Munzberg,Paul,AUS,Forman,Isaac,,,,,,,,,
,open,men,0,23:58:02,,930,155,AUS,Garroun,Shahan,AUS,Pompei,George,,,,,,,,,
,open,mixed,0,23:49:31,,900,61,AUS,Rutkowski,Jason,AUS,Rutkowski,Henry,AUS,Solarin,Simona,AUS,Turoczy,Milan,AUS,Turoczy,Mikko
,ultraveteran,mixed,0,21:54:44,,890,105,AUS,Corbett,Colin,AUS,Corbett,Joy,,,,,,,,,
,veteran,mixed,0,12:26:28,,870,160,AUS,Harrow,Darren,AUS,Harrow,Donna,,,,,,,,,
,superveteran,women,0,22:01:38,,870,7,AUS,Fyffe,Chris,AUS,Corner,Joan,,,,,,,,,
,veteran,mixed,0,23:28:26,,870,66,AUS,Schafer,Janelle,AUS,Schafer,Michael,,,,,,,,,
,superveteran,women,-130,24:12:28,,870,122,AUS,Scott,Judy,AUS,Johnson,Alexina,,,,,,,,,
,open,mixed,0,23:55:48,,810,81,AUS,Stamell,Melanie,AUS,Painting,James,AUS,Stephenson,Scott,,,,,,
,superveteran,men,0,12:26:34,,780,142,AUS,Draper,Phil,AUS,Row,Roger,AUS,Deep,Michael,,,,,,
,veteran,mixed,0,21:19:18,,730,41,AUS,Richardson,Pete,AUS,Clark,Tanya,,,,,,,,,
,open,mixed,0,23:57:30,,730,58,AUS,Wright,Sean,AUS,Wright,Liam,AUS,Noriega,Mariana,,,,,,
,open,mixed,0,23:46:16,,720,148,AUS,Ngan,Simin,AUS,Heng,David,,,,,,,,,
,open,men,0,23:39:08,,640,174,AUS,Bishop,James,AUS,Witney,Harry,AUS,Paterson,Mick,,,,,,
,open,women,0,23:38:59,,580,175,AUS,Darwin,Jasmine,AUS,Henderson,Mimi,AUS,Henderson,Vanessa,AUS,Paterson,Robyn,,,
,open,mixed,0,12:26:39,,420,163,AUS,Sherrell,Briony,AUS,Sherrell,Scott,,,,,,,,,
,veteran,mixed,0,3:44:18,,360,92,AUS,Goggs,Stephen,AUS,Jorgensen,Hugh,AUS,Tyson,Alexandra,,,,,,
,youth,women,0,23:56:27,,340,62,AUS,Payne,April,AUS,Patel,Nirali,AUS,Chisholm,Caitlin,,,,,,
