id,age,gender,score,time,penalty,status,member1country,member1firstname,member1lastname,member2country,member2firstname,member2lastname,member3country,member3firstname,member3lastname
25,veteran,men,261,23:16:22,0,,LAT ,Gints,Petersons,LAT,Kaspars,Jansons,,,
26,open,men,259,22:55:31,0,,LAT ,Matiss,Viksne,LAT,Emils,Endele,,,
27,open,men,258,21:30:44,0,,LAT ,Renars,Eberhards,LAT,Rihards,Spilva,LAT,Jurgis,Eberhards
28,superveteran,men,255,23:30:37,0,,EST ,Peep,Eomois,EST,Sulev,Kuiv,,,
29,veteran,men,254,22:50:18,0,,LAT ,Nikolajs,Lucans,LAT,Janis,Šnepste,,,
30,open,men,251,23:04:39,0,,LAT ,Ugis,Germanis,LAT,Gints,Germanis,,,
31,open,mixed,248,23:59:02,0,,LAT ,Ieva,Biedrite,LAT,Valdis,Gabrans,,,
32,superveteran,mixed,247,23:16:49,0,,LAT ,Ligita,Grunde,LAT,Rolands,Laveikis,,,
33,veteran,women,244,23:31:48,0,,LAT ,Iveta,Zagere,LAT,Inese,Berzina,,,
34,veteran,men,243,22:51:47,0,,LAT ,Salvis,Brasavs,LAT,Zintis,Brasavs-Muižnieks,,,
35,veteran,men,242,23:51:51,0,,LAT ,Janis,Petersons,LAT,Peteris,Ivans,,,
36,open,mixed,238,23:29:09,0,,LAT ,Oskars,Bartuševics,LAT,Aija,Bartuševica,,,
37,veteran,men,238,23:47:44,0,,LAT ,Austris,Lepiksons,LAT,Arvis,Zvanitajs,,,
38,veteran,mixed,235,23:56:05,0,,LAT ,Svetlana,Kulcihina,LAT,Toms,Puravs,,,
39,open,women,228,23:08:06,0,,LAT ,Liga,Berke,LAT,Zane,Dzirkale,,,
40,veteran,men,226,23:33:58,0,,LAT ,Peteris,Krastinš,LAT,Jurijs,Narels,,,
41,open,mixed,223,23:30:04,0,,LAT ,Aiga,Tora,LAT,Andis,Locmelis,,,
42,veteran,women,221,23:07:38,0,,LAT ,Jana,Adata,LAT,Vita,Žukovska,,,
43,open,men,220,23:08:31,0,,EST ,Kevin,Lepp,EST,Joe,Lepp,,,
44,open,men,218,22:51:10,0,,LAT ,Ints,Brunenieks,LAT,Viesturs,Kriškalns,,,
45,open,men,217,23:50:35,0,,LAT ,Imants,Iesalnieks,LAT,Juris,Petersons,LAT,Gatis,Gangitis
46,open,mixed,217,23:56:32,0,,LAT ,Aiga,Rozenberga,LAT,Normunds,Kuzaks,,,
47,veteran,men,216,23:25:23,0,,LAT ,Janis,Girnis,LAT,Rolands,Auzinš,,,
48,ultraveteran,mixed,215,23:41:57,0,,LAT ,Ruta,Kukka,LAT,Volli,Kukk,,,
49,youth,men,208,20:08:12,0,,EST ,Hendrik,Rull,EST,Kaarel,Kuslap,,,
50,superveteran,men,207,23:13:31,0,,LAT ,Maris ,Penkulis,LAT ,Andris,Kosmacevs ,,,
51,veteran,women,204,22:45:46,0,,LAT ,Ieva,Vitolina,LAT,Indra,Seglina,,,
52,superveteran,women,202,22:56:48,0,,LAT ,Sarmite,Vlodare,LAT,Dace,Saulite,,,
53,open,mixed,199,22:42:43,0,,LAT ,Arturs,Berzinš,LAT,Anete,Geduševa,,,
54,open,mixed,199,23:31:33,0,,LAT ,Sanita,Ivanova,LAT,Kalvis,Upitis,,,
55,veteran,mixed,197,23:58:16,0,,LAT ,Ilva,Koškina,LAT,Romans,Koškins,,,
56,open,mixed,196,22:55:56,0,,LAT ,Andris,Rozenbergs,LAT,Elina,Masteiko,,,
57,open,men,194,23:31:00,0,,LAT ,Martinš,Zarinš,LAT,Leons,Mednis,,,
58,open,mixed,192,23:20:15,0,,LAT ,Gunars,Bumburs,LAT,Ingars,Bumburs,LAT,Mairita,Buklagina
59,open,mixed,192,23:43:22,0,,LAT ,Inta,Ziriuse,LAT,Gints,Malzubris,,,
60,open,men,189,12:42:47,0,,LAT ,Alberts,Jasans,LAT,Martinš,Kruze,,,
61,superveteran,women,189,22:11:15,0,,LAT ,Silvija,Penkule,LAT,Gunta,Lebedoka,,,
62,veteran,women,189,23:25:23,0,,LAT ,Liga,Abelniece,LAT,Dace,Ikšele,,,
63,open,men,184,11:52:59,0,,LAT ,Uldis,Klepers,LAT,Zigmunds,Bibers,,,
64,veteran,mixed,184,21:13:29,0,,LAT ,Girts,Strujevics,LAT,Inta,Porike,,,
65,veteran,mixed,182,23:31:55,0,,LAT ,Kaspars,Liepins,LAT,Videga,Gaigala,,,
66,superveteran,women,178,23:47:03,0,,LAT ,Gundega,Jurane,LAT,Skaidrite,Otanke,,,
67,superveteran,mixed,177,22:26:46,0,,LAT ,Janis,Eglitis,LAT,Ilze,Laure,,,
68,open,women,177,23:42:06,0,,EST ,Anneli,Orav,EST,Virve,Orav,,,
69,veteran,men,176,17:49:04,0,,LAT ,Ainars,Cirulis,LAT,Maris,Sumcenko,LAT,Maris,Avotinš
70,open,women,175,21:19:23,0,,LAT ,Kristiana,Štebele,LAT,Laine,Štebele,,,
71,veteran,mixed,175,23:11:26,0,,LAT ,Aivars,Lapa,LAT,Marita,Lapa,,,
72,veteran,mixed,173,22:51:40,0,,LAT ,Juris,Paiders,LAT,Anita,Paidere,,,
73,superveteran,women,171,23:58:00,0,,LAT ,Anda,Lejasblusa,LAT,Rota,Šnuka,,,
74,ultraveteran,men,170,16:48:21,0,,LAT ,Juris,Drunka,LAT,Uldis,Alksnis,LAT,Janis,Biezais
75,open,mixed,170,23:41:24,0,,LAT ,Uldis,Katlaps,LAT,Agnese,Katlapa,,,
76,veteran,women,165,23:07:55,0,,LAT ,Gerda,Sirma,LAT,Zane,Blumberga,,,
77,veteran,men,164,22:31:44,0,,LAT ,Evalds,Žogla,LAT,Andis,Plakans,,,
78,open,mixed,163,23:53:43,0,,LAT ,Jana,Puze,LAT,Edgars,Zakis,,,
79,superveteran,mixed,162,23:10:37,0,,LAT ,Arija,Šinke,LAT,Juris,Šinke,,,
80,open,mixed,154,23:59:18,0,,LAT ,Martinš,Peisenieks,LAT,Ieva,Grauduma,,,
81,veteran,women,151,23:26:34,0,,LAT ,Zita,Grante,LAT,Kristina,Ece,,,
82,ultraveteran,women,150,22:51:45,0,,LAT ,Velta,Zjatkova,LAT,Mara,Bolšteina,,,
83,youth,mixed,148,15:33:53,0,,LAT ,Ieva,Ivbule,LAT,Aivars,Lucijanovs,,,
84,open,men,147,17:33:44,0,,LAT ,Armands,Kalnozols,LAT,Gints,Antinš,,,
85,open,men,145,17:50:30,0,,LAT ,Agnis,Lukacovs,LAT,Helmuts,Lukacovs,,,
86,veteran,women,142,19:26:36,0,,LAT ,Lasma,Šlosberga,LAT,Gita,Gaisa,LAT,Santa,Bluma
87,open,men,141,23:01:39,0,,EST ,Veiko,Karu,EST,Juhan,Karin,,,
88,open,mixed,134,12:27:20,0,,LAT ,Elza,Žumbure,LAT,Toms,Biders,,,
89,open,men,134,21:53:44,0,,LAT ,Janis,Eimus,LAT,Karlis,Bidinš,,,
90,open,mixed,133,15:26:59,0,,LAT ,Ieva,Daugaviete-Ernste,LAT,Rihards,Ernsts,,,
91,veteran,mixed,131,23:33:49,0,,LAT ,Karlis,Paukšs,LAT,Dace,Zbitkovska,,,
92,open,mixed,128,18:04:53,0,,LAT ,Janis,Mednieks,LAT,Liva,Tiesnese,LAT,Aija,Delina
93,open,mixed,128,23:15:25,0,,LAT ,Davids,Alksnis,LAT,Mara,Brune,,,
94,open,mixed,126,20:22:49,0,,LAT ,Janis,Cirulis,LAT,Ligija,Cirule,,,
95,superveteran,women,126,21:48:53,0,,LAT ,Brigita,Tamuža,LAT,Baiba,Purina,,,
96,open,women,125,23:11:44,0,,LAT ,Ieva,Putrina,LAT,Ilze,Putrina,,,
97,open,men,123,22:12:53,0,,LAT ,Madis,Lapinš,LAT,Viesturs,Otomers,,,
98,veteran,women,112,23:00:13,0,,LAT ,Santa,Roze,LAT,Lasma,Abolina,,,
99,veteran,women,101,21:13:54,0,,LAT ,Rita,Škipare,LAT,Ruta,Škipare,,,
100,youth,men,94,18:15:27,0,,LAT ,Krišjanis,Ivbulis,LAT,Rudis,Lapinš,,,
101,veteran,women,92,22:31:02,0,,GER,Jana,Hintz,AUS,Deborah,Cutting,,,
102,open,men,89,21:17:13,0,,LAT ,Gatis,Mednis,LAT,Artis,Mednis,,,
103,open,mixed,86,23:51:16,0,,LAT ,Elina,Plume,LAT,Janis,Paiders,,,
104,open,mixed,85,11:47:16,0,,LAT ,Aleksandrs,Bodilevs,LAT,Marcis,Laganovskis,LAT,Elizabete,Neimiševa
105,open,mixed,79,14:09:17,0,,LAT ,Aivis,Putans,LAT,Dace,Ancane,,,
106,open,men,79,14:47:22,0,,LAT ,Mareks,Gulbis,LAT,Edijs,Gulbis,,,
107,youth,mixed,64,15:28:15,0,,LAT ,Martinš,Smilgajs,LAT,Janis,Smilgajs,LAT,Anna,Esina
108,ultraveteran,men,54,22:55:57,0,,LAT ,Aldis,Berzinš,LAT,Maris,Grinšteins,,,
109,superveteran,mixed,124,12:37:59,0,withdrawn,LAT ,Inara,Gipsle,LAT,Viesturs,Ziedinš,,,
110,veteran,women,101,12:41:31,0,withdrawn,LAT ,Dina,Alksne,LAT,Ilze,Pužule,,,
111,open,men,137,18:04:26,0,disqualified,LAT ,Davis,Salduksnis,LAT,Aris,Peics,,,
112,open,women,183,23:49:51,0,disqualified,LAT ,Marta,Liepina,LAT,Nora,Baranovska,,,
