id;name;gender;age;member1lastname;member1firstname;member1country;member2lastname;member2firstname;member2country;member3lastname;member3firstname;member3country;member4lastname;member4firstname;member4country;member5lastname;member5firstname;member5country;time;original_score;penalty;score;status
175;ARALAR KIROLAK - EUSKAL RAID;mixed;open;Doyharzabal Iturralde;Be?at;ESP;Garmendia Goitia;Maitane;ESP;;;;;;;;;;8:46:20;980;0;980;
178;Caradepeix;mixed;open;Arjona Tellez;Sara;ESP;Blanque Parcerisa;Abel;ESP;;;;;;;;;;23:33:48;980;0;980;
364;AROMON MOVES TIME;men;veteran;Gonzalez Comesa?a;Jovino;ESP;Mar�n G�mez-Nieves;Alejandro;ESP;;;;;;;;;;23:34:22;980;0;980;
319;Sarrios 4;men;veteran;Alloza Franch;Miguel Angel;ESP;Armengod Vela;Miguel Angel;ESP;ARMENGOD VELA;ANTONIO JOSE;ESP;;;;;;;23:17:49;970;0;970;
423;Novgorod;mixed;superveteran;Kazantsev;Ivan;RUS;Kazantseva;Alina;RUS;;;;;;;;;;23:23:20;970;0;970;
201;Surikati;mixed;open;Grivin�;Peteris;LAT;Upmace;Ieva;LAT;;;;;;;;;;6:58:02;960;0;960;
412;LL;women;superveteran;Lisenenkova;Elena;RUS;Uspenskaia;Larisa;RUS;;;;;;;;;;23:41:02;960;0;960;
133;LEmONa;men;open;Bengoa Larringan;I?igo;ESP;FERNANDEZ RODRIGUEZ;VICTOR;ESP;;;;;;;;;;23:35:35;930;0;930;
118;Farra-On Fire;men;open;Bielsa Mill�n;Albert;ESP;Otero Senties;Marc;ESP;;;;;;;;;;23:26:00;900;0;900;
171;Rogaine de Pardines - Aligots 2;women;open;Font Llad�;Raquel;ESP;Planas Roca;Marta;ESP;;;;;;;;;;23:44:13;900;0;900;
354;Sarrios 1;mixed;veteran;Gracia Abad;Angel;ESP;S�nchez Aranda;Pili;ESP;;;;;;;;;;23:08:27;890;0;890;
356;SARRIOS 3;mixed;veteran;AYUSO GAMARRA;AZUCENA;ESP;SANMARTIN CRUZ;FERNANDO;ESP;;;;;;;;;;23:09:25;890;0;890;
355;Sarrios 2;mixed;veteran;Medina;Luis Ant�n;ESP;Galindo Agesta;Carmen;ESP;Gasca Gal�n;Patricia;ESP;;;;;;;23:10:08;890;0;890;
501;Bukovina-4;men;ultraveteran;KONIH;LEV;UKR;KOTUZYAK;VASYL;UKR;;;;;;;;;;23:31:35;890;0;890;
