id,name,score,time,penalty,status,age,gender,member1country,member1firstname,member1lastname,member2country,member2firstname,member2lastname,member3country,member3firstname,member3lastname
295,Marmotes,151,23:44:25,0,,veteran,men,LAT,Raivo,Pusbarnieks,LAT,Guntars,Vība,,,
296,Zāģis un Zebiekste,150,16:36:25,0,,veteran,men,LAT,Gints,Ģērmanis,LAT,Aivars,Dzalbs,,,
297,Control Freaks,150,21:22:37,0,,superveteran,mixed,AUS,Janelle,Schafer,AUS,Michael,Schafer,,,
298,OM,149,23:25:21,0,,veteran,mixed,LAT,Aigars,Eriņš,LAT,Zanda,Kārkliņa,,,
299,mežā galvenais,148,15:09:49,0,,open,men,LAT,Māris,Freimanis,LAT,Renārs,Pūce,,,
300,Autostarts.lv,148,23:09:48,0,,veteran,mixed,LAT,Marita,Lapa,LAT,Aivars,Lapa,,,
301,Mambo Mzungu,146,21:32:19,0,,veteran,mixed,FIN,Paavo,Juntunen,FIN,Irina,Köntti,,,
302,STIHL Adventure Team,146,23:08:29,0,,open,men,EST,Mart,Kelk,EST,Peep,Teppo,,,
303,Kurase Hülged,146,23:23:11,0,,veteran,men,EST,Markko,Sinkkonen,EST,Veiko,Busch,,,
304,Ineši,146,23:38:20,0,,open,mixed,LAT,Agnese,Katlapa,LAT,Uldis,Katlaps,,,
305,JTP,145,23:43:42,0,,open,men,GER,Peter,McColgan,GER,Jan,Langer,GER,Thomas,McColgan
306,Čāpotāji,144,22:39:41,0,,open,mixed,LAT,Aija,Lorence,LAT,Jānis,Lorencs,,,
307,Nightcrawlers,144,23:31:04,0,,ultraveteran,mixed,USA,Eric,Smith,USA,Mary,Smith,,,
308,LL,144,23:32:37,0,,superveteran,women,RUS,Elena,Lisenenkova,RUS,Larisa,Uspenskaya,,,
309,Paha Rasti,143,20:06:32,0,,veteran,women,FIN,Teija,Liponkoski,FIN,Johanna,Piesala,,,
310,O-Turists,142,14:03:18,0,,open,men,EST,Erkki,Vahi,EST,Fred,Viidul,,,
311,Hibernējies Āpsis,142,15:46:00,0,,open,mixed,LAT,Kalvis,Upītis,LAT,Sanita,Ivanova,,,
312,Hoda`s People,142,22:58:40,0,,open,mixed,USA,Shannon,Cheng,USA,Ethan,O'Connor,,,
313,STK,142,23:28:01,0,,open,mixed,LAT,Jānis,Priedītis,LAT,Elīna,Aģe,LAT,Mārtiņš,Birums
314,OC BSU 2,138,17:42:28,0,,open,men,BLR,Dzmitry,Davidovich,BLR,Aliaksandr,Yeusiuchenia,,,
315,WITaj,138,20:56:41,0,,superveteran,mixed,CZE,Zbynek,Krejčik,CZE,Monika,Krejčikova,,,
316,OS Veikals,137,15:09:29,0,,veteran,men,LAT,Atis,Kalējs,LAT,Alvis,Mats,,,
317,ARA,136,23:39:16,0,,superveteran,women,LAT,Andra,Melbarde,LAT,Renate,Kokarevica,LAT,Andra,Jansone
318,Karun,135,21:38:01,0,,open,men,EST,Juhan,Karin,EST,Veiko,Karu,,,
319,Luiziana,135,23:31:37,0,,open,women,RUS,Natalia,Syraleva,RUS,Olga,Kyznetsova,,,
320,Rīta zvaigznes,135,23:49:25,0,,open,women,LAT,Agnese,Caune,LAT,Baiba,Veļika,,,
321,SEVEN,134,23:33:34,0,,open,mixed,LAT,Anete,Smilga,LAT,Modris,Šariņš,,,
322,Team France,133,18:55:46,0,,open,mixed,FRA,Olivier,Charbonnier,FRA,Robin,Elodie,,,
323,Apesciems,133,23:33:35,0,,veteran,women,LAT,Līga,Vabulniece,LAT,Sanita,Sproģe,,,
324,Alchevsk Wanderers,132,23:32:33,0,,superveteran,mixed,UKR,Yuriy,Shur,UKR,Tetiana,Drytova,,,
325,BLR-Brest,131,23:12:13,0,,open,men,BLR,Aliaksadr,Lukyanenka,BLR,Andrei,Kozich,,,
326,Polarlapsas,130,23:31:24,0,,superveteran,women,LAT,Ilze,Tāse,LAT,Dace,Cebule,,,
327,Atrodi ezi!,129,17:10:37,0,,open,women,LAT,Ilze,Puzule,LAT,Sintija,Levica,,,
328,Siguldas Takas,129,23:14:57,0,,open,men,LAT,Valdis,Janovs,LAT,Jēkabs,Janovs,LAT,Oto,Laiva
329,Trīs Vardes,128,16:15:01,0,,open,women,EST,Merle,Rohtla,EST,Jaana,Toomik,EST,Helen,Aart
330,Project B,127,23:48:07,0,,open,mixed,NOR,Jørn,Aadnevik,EST,Hedi,Vaikjärv,,,
331,Mauersegler Berlin,126,23:14:31,0,,veteran,mixed,GER,Charlet,Katrin,GER,Charlet,Norbert,,,
332,HP-Sport team Plus,125,22:04:51,0,,open,mixed,EST,Heiki,Pajuste,EST,Heleri,Pajuste,,,
333,Skudrulāči,125,23:10:07,0,,veteran,mixed,LAT,Anita,Paidere,LAT,Juris,Paiders,,,
334,Mushroom picker,125,23:35:04,0,,superveteran,mixed,RUS,Alexander,Diyakov,RUS,Elena,Semenova,,,
335,Huckleberries,124,22:21:13,0,,superveteran,mixed,USA,Ken,Lotze,USA,Carol,Johnson,,,
336,SK PRORUNNER/JomaEkspert,123,19:35:27,0,,open,mixed,EST,Viljar,Vallimäe,EST,Kadiliis,Kuiv,,,
337,Breivdīnuos iz Latgolu,123,19:42:43,0,,veteran,mixed,LAT,Pēteris,Strazdiņš,LAT,Astrīda,Celmiņa,,,
338,The Wanderers,123,19:55:52,0,,open,men,CAN,Kevin,Matrosovs,SWE,André,Bjärby,,,
