rank,id,score,time,penalty,status,age,gender,member1country,member1lastname,member1firstname,member2country,member2lastname,member2firstname,member3country,member3lastname,member3firstname,member4country,member4lastname,member4firstname
107,111,1440,22:53:49,0,,open,mixed,CZE,Brožek,Tomáš,CZE,Brožková,Květa,,,,,,
108,98,1410,23:48:24,0,,veteran,mixed,LAT,Koskina,Ilva,LAT,Koskins,Romans,,,,,,
109,129,1380,22:53:45,0,,open,men,USA,Phillips,Daniel,USA,Meinhold,David,,,,,,
110,158,1380,23:14:26,0,,veteran,mixed,ITA,Colligiani,Linda,ITA,Certosi,Giacomo,,,,,,
111,76,1380,23:31:21,0,,open,mixed,ESP,Martinez,Luis,ESP,Bambrook,Shelley,,,,,,
112,11,1350,22:44:41,0,,veteran,mixed,GER,Charlet,Katrin,GER,Charlet,Norbert,,,,,,
113,5,1350,23:48:29,0,,open,mixed,UKR,Bazarov,Mykola,UKR,Mozolevska,Anastasia,,,,,,
114,18,1320,22:26:42,0,,open,mixed,ITA,Formenti,Andrea,ITA,Bricarello,Martina,,,,,,
115,54,1320,22:52:11,0,,open,mixed,ESP,Mayans Corcoles,Toni,ESP,Gorraiz Valles,Anna,,,,,,
116,144,1320,23:29:42,0,,youth,men,RUS,Frenklakh,David,RUS,Kazarnovskii,Kirill,,,,,,
117,130,1280,23:09:59,0,,open,men,USA,Swift,Dilan,USA,Sheldon,Benjamin,,,,,,
118,58,1260,21:20:35,0,,open,women,RUS,Varavina,Kseniia,RUS,Yesina,Yuliia,,,,,,
119,64,1240,23:09:59,0,,youth,mixed,UKR,Pereverzev,Danil,UKR,Kurochkin,Dmytro,UKR,Kucher,Anastasiia,UKR,Taran,Victoriia
120,6,1210,21:56:23,0,,veteran,mixed,RUS,Voronchi,Vladimir,RUS,Veksler,Yulia,,,,,,
122,53,1170,23:20:32,0,,veteran,mixed,EST,Kangilaski,Tiina,EST,Metsa,Jaan,,,,,,
123,125,1150,22:31:18,0,,veteran,mixed,LAT,Dravants,Martins,LAT,Bardina,Ineta,,,,,,
124,26,1150,23:45:28,0,,veteran,women,RUS,Lisenenkova,Elena,RUS,Molotkova,Zoya,RUS,Uspenskaya,Larisa,,,
125,35,1130,23:18:19,0,,veteran,women,FIN,Rantalainen,Tuija,FIN,Rantalainen,Arja,,,,,,
126,135,1040,23:11:46,0,,open,women,LAT,Tranina,Dace,LAT,Galvina,Santa,,,,,,
127,172,1030,23:29:35,0,,veteran,women,RUS,Yashchenko,Maria,RUS,Manova,Maria,,,,,,
128,524,970,23:20:01,0,,veteran,mixed,RUS,Kukueva,Irina,RUS,Evgrafov,Valery,,,,,,
129,31,970,23:16:01,0,,veteran,mixed,UKR,Shur,Yuri,UKR,Drytova,Tetiana,,,,,,
130,131,950,23:37:41,0,,open,men,USA,Paul,John,USA,Geelan,Zach,USA,Winters,Zachary,,,
131,116,930,22:33:12,0,,veteran,mixed,LAT,Ornina,Aija,LAT,Lielais,Karlis,LAT,Salta,Marita,,,
132,160,880,23:12:41,0,,veteran,mixed,ESP,de los Dolores,Txemi,ESP,Garcia Romero,Joana,,,,,,
133,100,870,22:29:24,0,,open,women,LAT,Laura,Ilze,LAT,Lejasblusa,Anda,,,,,,
134,133,860,23:13:30,0,,veteran,men,EST,Märtson,Matis,EST,Päärt,Villu,,,,,,
135,16,520,19:43:27,0,,open,women,FIN,Siivari,Kirsi,FIN,Formulahti,Aino,,,,,,
136,154,450,23:59:58,0,,veteran,mixed,UKR,Konih,Lev,UKR,Prokopyk,Halyna,,,,,,
137,32,310,19:53:48,0,,open,mixed,RUS,Lisenenkova,Anna,RUS,Molotikov,Dmitry,,,,,,
-,81,0,00:00:00,0,not finished,veteran,mixed,FIN,Vuorenpää,Virva,FIN,Vuorenpää,Asmo,,,,,,
-,1000,0,00:00:00,0,not finished,open,men,ITA,Tenani,Alessio,ITA,di Meo,Guanluca,,,,,,
