id,age,gender,teamname,score,time,penalty,status,member1country,member1firstname,member1lastname,member2country,member2firstname,member2lastname,member3country,member3firstname,member3lastname
2403,ultraveteran,mixed,Kiysvet,104,23:25:25,0,,UKR,Andriy,Dudin,UKR,Viktor,Baranovskyi,,,
2404,open,men,Bukovyna-Podillya,99,23:30:21,0,,UKR,Vasyl,Kotuzyak,UKR,Oleksandr,Kraiushyn,,,
2800,superveteran,mixed,Pofigisty,99,23:44:42,0,,UKR,Tetiana,Klepikova,UKR,Vasiliy,Rublevskiy,,,
617,veteran,mixed,BUG (Brest),98,20:02:50,0,,BLR,Oleg,Kopot,BLR,Aleksei,Kopot,,,
1111,open,mixed,СК ”Суворовець”,90,13:19:03,0,,UKR,Василь,Бібленко,UKR,Сергій,Кобець,,,
1092,youth,women,Восход,88,23:19:48,0,,UKR,Єгор,Басюк,UKR,Олена,Мироненко,,,
1162,youth,women,Димоль,88,23:31:40,0,,UKR,Дмитро,Кисаков,UKR,Ольга,Кисакова,,,
1012,open,mixed,КСО МІДІЗ,93,23:39:45,0,,UKR,Юлія,Омельченко,UKR,Ольга,Нікітіна,,,
2802,ultraveteran,men,POBEDA,95,22:42:00,0,,UKR,Valentyna,Koriakova,UKR,Vladimir,Musatov,,,
602,open,men,2B,93,23:22:35,0,,LAT,Māris,Bērziņš,LAT,Armands,Broks,,,
2204,superveteran,mixed,EnTavr,87,23:49:37,0,,UKR,Tetyana,Mitusova,UKR,Volodymyr,Mitusov,,,
1611,veteran,mixed,Arterium,86,23:51:12,0,,UKR,Nataliia,Zvolinska,UKR,Sergii,Sur,,,
1011,open,mixed,HP-Sport team Plus,84,22:37:27,0,,EST,Heleri,Pajuste,EST,Heiki,Pajuste,,,
202,youth,women,Galitsiia,83,23:20:57,0,,UKR,Diana,Skorodinska,UKR,Jana,Strochuk,,,
1051,veteran,mixed,Горизонт-АМК,81,21:57:09,0,,UKR,Валерий,Полищук,UKR,Галина,Поліщук,,,
1061,open,mixed,1,80,12:13:18,0,,UKR,Ніна,Ілемська,UKR,Олег,Стефаник,,,
203,youth,women,"SK ""Suvorovets"" Kherson",81,20:58:12,0,,UKR,Yelyzaveta,Zaitseva,UKR,Viktoriia,Likhtei,UKR,Yuliya,Kobets
1003,open,mixed,wAlts,30,22:03:30,0,,LAT,Kristine,Veisberga-Medne,LAT,Artis,Mednis,,,
2405,ultraveteran,men,Zelesta,26,23:30:28,0,,UKR,Viktor,Nagorskiy,UKR,Marat,Vyshnevyi,,,
